Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	23	30	0.0	0.6764705882352942	0.07058823529411765
1	0	19	0.03125	0.6764705882352942	0.11529411764705882
2	0	1	0.0625	0.6764705882352942	0.11764705882352941
3	0	0	0.09375	0.6764705882352942	0.11764705882352941
4	0	0	0.125	0.6764705882352942	0.11764705882352941
5	0	0	0.15625	0.6764705882352942	0.11764705882352941
6	1	28	0.1875	0.7058823529411765	0.18352941176470589
7	0	98	0.21875	0.7058823529411765	0.41411764705882353
8	0	0	0.25	0.7058823529411765	0.41411764705882353
9	2	12	0.28125	0.7647058823529412	0.4423529411764706
10	0	2	0.3125	0.7647058823529412	0.4470588235294118
11	0	6	0.34375	0.7647058823529412	0.4611764705882353
12	0	17	0.375	0.7647058823529412	0.5011764705882353
13	0	52	0.40625	0.7647058823529412	0.6235294117647059
14	0	4	0.4375	0.7647058823529412	0.6329411764705882
15	6	113	0.46875	0.9411764705882354	0.8988235294117647
16	0	10	0.5	0.9411764705882354	0.9223529411764706
17	0	0	0.53125	0.9411764705882354	0.9223529411764706
18	0	18	0.5625	0.9411764705882354	0.9647058823529412
19	0	0	0.59375	0.9411764705882354	0.9647058823529412
20	0	10	0.625	0.9411764705882354	0.9882352941176471
21	0	0	0.65625	0.9411764705882354	0.9882352941176471
22	0	2	0.6875	0.9411764705882354	0.9929411764705883
23	0	2	0.71875	0.9411764705882354	0.9976470588235296
24	0	0	0.75	0.9411764705882354	0.9976470588235296
25	0	0	0.78125	0.9411764705882354	0.9976470588235296
26	0	0	0.8125	0.9411764705882354	0.9976470588235296
27	0	0	0.84375	0.9411764705882354	0.9976470588235296
28	0	0	0.875	0.9411764705882354	0.9976470588235296
29	0	0	0.90625	0.9411764705882354	0.9976470588235296
30	0	0	0.9375	0.9411764705882354	0.9976470588235296
31	0	0	0.96875	0.9411764705882354	0.9976470588235296
32	2	1	1.0	1.0	1.0000000000000002
