Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	7	72	0.0	0.3888888888888889	0.2868525896414343
1	0	1	0.043478260869565216	0.3888888888888889	0.2908366533864542
2	0	1	0.08695652173913043	0.3888888888888889	0.2948207171314741
3	0	0	0.13043478260869565	0.3888888888888889	0.2948207171314741
4	0	0	0.17391304347826086	0.3888888888888889	0.2948207171314741
5	0	1	0.21739130434782608	0.3888888888888889	0.29880478087649404
6	0	0	0.2608695652173913	0.3888888888888889	0.29880478087649404
7	0	0	0.30434782608695654	0.3888888888888889	0.29880478087649404
8	0	3	0.34782608695652173	0.3888888888888889	0.3107569721115538
9	0	0	0.391304347826087	0.3888888888888889	0.3107569721115538
10	0	0	0.43478260869565216	0.3888888888888889	0.3107569721115538
11	0	0	0.4782608695652174	0.3888888888888889	0.3107569721115538
12	0	0	0.5217391304347826	0.3888888888888889	0.3107569721115538
13	0	0	0.5652173913043478	0.3888888888888889	0.3107569721115538
14	0	0	0.6086956521739131	0.3888888888888889	0.3107569721115538
15	0	0	0.6521739130434783	0.3888888888888889	0.3107569721115538
16	6	6	0.6956521739130435	0.7222222222222222	0.3346613545816733
17	0	49	0.7391304347826086	0.7222222222222222	0.5298804780876494
18	5	108	0.782608695652174	1.0	0.9601593625498008
19	0	5	0.8260869565217391	1.0	0.9800796812749004
20	0	0	0.8695652173913043	1.0	0.9800796812749004
21	0	0	0.9130434782608695	1.0	0.9800796812749004
22	0	0	0.9565217391304348	1.0	0.9800796812749004
23	0	5	1.0	1.0	1.0
