Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	0	13	0.0	0.0	0.02754237288135593
1	0	35	0.020833333333333332	0.0	0.10169491525423728
2	0	101	0.041666666666666664	0.0	0.3156779661016949
3	0	32	0.0625	0.0	0.3834745762711864
4	0	0	0.08333333333333333	0.0	0.3834745762711864
5	0	0	0.10416666666666667	0.0	0.3834745762711864
6	0	2	0.125	0.0	0.3877118644067796
7	27	30	0.14583333333333334	0.627906976744186	0.45127118644067793
8	16	102	0.16666666666666666	1.0	0.6673728813559322
9	0	0	0.1875	1.0	0.6673728813559322
10	0	28	0.20833333333333334	1.0	0.7266949152542372
11	0	11	0.22916666666666666	1.0	0.75
12	0	0	0.25	1.0	0.75
13	0	0	0.2708333333333333	1.0	0.75
14	0	0	0.2916666666666667	1.0	0.75
15	0	0	0.3125	1.0	0.75
16	0	0	0.3333333333333333	1.0	0.75
17	0	0	0.3541666666666667	1.0	0.75
18	0	0	0.375	1.0	0.75
19	0	0	0.3958333333333333	1.0	0.75
20	0	0	0.4166666666666667	1.0	0.75
21	0	0	0.4375	1.0	0.75
22	0	0	0.4583333333333333	1.0	0.75
23	0	0	0.4791666666666667	1.0	0.75
24	0	0	0.5	1.0	0.75
25	0	0	0.5208333333333334	1.0	0.75
26	0	0	0.5416666666666666	1.0	0.75
27	0	0	0.5625	1.0	0.75
28	0	0	0.5833333333333334	1.0	0.75
29	0	0	0.6041666666666666	1.0	0.75
30	0	0	0.625	1.0	0.75
31	0	0	0.6458333333333334	1.0	0.75
32	0	0	0.6666666666666666	1.0	0.75
33	0	0	0.6875	1.0	0.75
34	0	0	0.7083333333333334	1.0	0.75
35	0	0	0.7291666666666666	1.0	0.75
36	0	0	0.75	1.0	0.75
37	0	0	0.7708333333333334	1.0	0.75
38	0	0	0.7916666666666666	1.0	0.75
39	0	0	0.8125	1.0	0.75
40	0	0	0.8333333333333334	1.0	0.75
41	0	0	0.8541666666666666	1.0	0.75
42	0	0	0.875	1.0	0.75
43	0	0	0.8958333333333334	1.0	0.75
44	0	0	0.9166666666666666	1.0	0.75
45	0	0	0.9375	1.0	0.75
46	0	0	0.9583333333333334	1.0	0.75
47	0	94	0.9791666666666666	1.0	0.9491525423728814
48	0	24	1.0	1.0	1.0
