Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	0	337	0.0	0.0	0.10293219303604154
1	0	380	0.016129032258064516	0.0	0.21899816737935246
2	0	284	0.03225806451612903	0.0	0.305742211362248
3	0	30	0.04838709677419355	0.0	0.3149053145998778
4	16	110	0.06451612903225806	1.0	0.34850335980452046
5	0	1305	0.08064516129032258	1.0	0.7470983506414173
6	0	175	0.0967741935483871	1.0	0.8005497861942579
7	0	62	0.11290322580645161	1.0	0.8194868662186928
8	0	222	0.12903225806451613	1.0	0.8872938301771535
9	0	0	0.14516129032258066	1.0	0.8872938301771535
10	0	1	0.16129032258064516	1.0	0.8875992669517411
11	0	88	0.1774193548387097	1.0	0.9144777031154552
12	0	0	0.1935483870967742	1.0	0.9144777031154552
13	0	0	0.20967741935483872	1.0	0.9144777031154552
14	0	133	0.22580645161290322	1.0	0.955100794135614
15	0	1	0.24193548387096775	1.0	0.9554062309102016
16	0	2	0.25806451612903225	1.0	0.9560171044593769
17	0	12	0.27419354838709675	1.0	0.9596823457544289
18	0	2	0.2903225806451613	1.0	0.9602932193036042
19	0	0	0.3064516129032258	1.0	0.9602932193036042
20	0	0	0.3225806451612903	1.0	0.9602932193036042
21	0	6	0.3387096774193548	1.0	0.9621258399511302
22	0	2	0.3548387096774194	1.0	0.9627367135003055
23	0	0	0.3709677419354839	1.0	0.9627367135003055
24	0	1	0.3870967741935484	1.0	0.9630421502748931
25	0	0	0.4032258064516129	1.0	0.9630421502748931
26	0	0	0.41935483870967744	1.0	0.9630421502748931
27	0	0	0.43548387096774194	1.0	0.9630421502748931
28	0	1	0.45161290322580644	1.0	0.9633475870494808
29	0	0	0.46774193548387094	1.0	0.9633475870494808
30	0	0	0.4838709677419355	1.0	0.9633475870494808
31	0	0	0.5	1.0	0.9633475870494808
32	0	0	0.5161290322580645	1.0	0.9633475870494808
33	0	0	0.532258064516129	1.0	0.9633475870494808
34	0	0	0.5483870967741935	1.0	0.9633475870494808
35	0	0	0.5645161290322581	1.0	0.9633475870494808
36	0	0	0.5806451612903226	1.0	0.9633475870494808
37	0	0	0.5967741935483871	1.0	0.9633475870494808
38	0	0	0.6129032258064516	1.0	0.9633475870494808
39	0	0	0.6290322580645161	1.0	0.9633475870494808
40	0	0	0.6451612903225806	1.0	0.9633475870494808
41	0	0	0.6612903225806451	1.0	0.9633475870494808
42	0	1	0.6774193548387096	1.0	0.9636530238240684
43	0	0	0.6935483870967742	1.0	0.9636530238240684
44	0	0	0.7096774193548387	1.0	0.9636530238240684
45	0	0	0.7258064516129032	1.0	0.9636530238240684
46	0	0	0.7419354838709677	1.0	0.9636530238240684
47	0	0	0.7580645161290323	1.0	0.9636530238240684
48	0	0	0.7741935483870968	1.0	0.9636530238240684
49	0	0	0.7903225806451613	1.0	0.9636530238240684
50	0	0	0.8064516129032258	1.0	0.9636530238240684
51	0	0	0.8225806451612904	1.0	0.9636530238240684
52	0	0	0.8387096774193549	1.0	0.9636530238240684
53	0	0	0.8548387096774194	1.0	0.9636530238240684
54	0	0	0.8709677419354839	1.0	0.9636530238240684
55	0	0	0.8870967741935484	1.0	0.9636530238240684
56	0	0	0.9032258064516129	1.0	0.9636530238240684
57	0	0	0.9193548387096774	1.0	0.9636530238240684
58	0	0	0.9354838709677419	1.0	0.9636530238240684
59	0	0	0.9516129032258065	1.0	0.9636530238240684
60	0	0	0.967741935483871	1.0	0.9636530238240684
61	0	0	0.9838709677419355	1.0	0.9636530238240684
62	0	119	1.0	1.0	1.0
