Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	29	61	0.0	0.90625	0.34269662921348315
1	0	27	0.029411764705882353	0.90625	0.4943820224719101
2	0	5	0.058823529411764705	0.90625	0.5224719101123595
3	0	0	0.08823529411764706	0.90625	0.5224719101123595
4	0	10	0.11764705882352941	0.90625	0.5786516853932584
5	0	2	0.14705882352941177	0.90625	0.5898876404494382
6	0	0	0.17647058823529413	0.90625	0.5898876404494382
7	0	4	0.20588235294117646	0.90625	0.6123595505617978
8	0	2	0.23529411764705882	0.90625	0.6235955056179776
9	0	0	0.2647058823529412	0.90625	0.6235955056179776
10	0	0	0.29411764705882354	0.90625	0.6235955056179776
11	0	0	0.3235294117647059	0.90625	0.6235955056179776
12	0	0	0.35294117647058826	0.90625	0.6235955056179776
13	0	0	0.38235294117647056	0.90625	0.6235955056179776
14	0	0	0.4117647058823529	0.90625	0.6235955056179776
15	0	0	0.4411764705882353	0.90625	0.6235955056179776
16	0	0	0.47058823529411764	0.90625	0.6235955056179776
17	0	0	0.5	0.90625	0.6235955056179776
18	0	0	0.5294117647058824	0.90625	0.6235955056179776
19	3	56	0.5588235294117647	1.0	0.9382022471910113
20	0	1	0.5882352941176471	1.0	0.9438202247191012
21	0	0	0.6176470588235294	1.0	0.9438202247191012
22	0	0	0.6470588235294118	1.0	0.9438202247191012
23	0	0	0.6764705882352942	1.0	0.9438202247191012
24	0	0	0.7058823529411765	1.0	0.9438202247191012
25	0	0	0.7352941176470589	1.0	0.9438202247191012
26	0	0	0.7647058823529411	1.0	0.9438202247191012
27	0	0	0.7941176470588235	1.0	0.9438202247191012
28	0	0	0.8235294117647058	1.0	0.9438202247191012
29	0	0	0.8529411764705882	1.0	0.9438202247191012
30	0	0	0.8823529411764706	1.0	0.9438202247191012
31	0	1	0.9117647058823529	1.0	0.9494382022471911
32	0	4	0.9411764705882353	1.0	0.9719101123595506
33	0	0	0.9705882352941176	1.0	0.9719101123595506
34	0	5	1.0	1.0	1.0
