Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	0	255	0.0	0.0	0.0984936268829664
1	0	362	0.038461538461538464	0.0	0.23831595210505988
2	0	295	0.07692307692307693	0.0	0.3522595596755504
3	0	341	0.11538461538461539	0.0	0.4839706450366937
4	0	90	0.15384615384615385	0.0	0.518733101583623
5	0	19	0.19230769230769232	0.0	0.5260718424101969
6	0	99	0.23076923076923078	0.0	0.5643105446118192
7	0	5	0.2692307692307692	0.0	0.5662417921977597
8	0	4	0.3076923076923077	0.0	0.5677867902665121
9	0	1	0.34615384615384615	0.0	0.5681730397837003
10	0	157	0.38461538461538464	0.0	0.6288142139822325
11	0	3	0.4230769230769231	0.0	0.6299729625337968
12	0	0	0.46153846153846156	0.0	0.6299729625337968
13	29	336	0.5	1.0	0.7597528003089995
14	0	180	0.5384615384615384	1.0	0.8292777134028582
15	0	13	0.5769230769230769	1.0	0.8342989571263035
16	0	105	0.6153846153846154	1.0	0.8748551564310544
17	0	25	0.6538461538461539	1.0	0.884511394360757
18	0	46	0.6923076923076923	1.0	0.9022788721514098
19	0	19	0.7307692307692307	1.0	0.9096176129779837
20	0	37	0.7692307692307693	1.0	0.9239088451139436
21	0	28	0.8076923076923077	1.0	0.9347238315952104
22	0	51	0.8461538461538461	1.0	0.9544225569718037
23	0	33	0.8846153846153846	1.0	0.9671687910390111
24	0	45	0.9230769230769231	1.0	0.9845500193124758
25	0	39	0.9615384615384616	1.0	0.9996137504828118
26	0	1	1.0	1.0	0.9999999999999999
