Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	0	21	0.0	0.0	0.010214007782101167
1	0	69	0.07692307692307693	0.0	0.04377431906614786
2	0	7	0.15384615384615385	0.0	0.04717898832684825
3	0	6	0.23076923076923078	0.0	0.05009727626459144
4	0	1	0.3076923076923077	0.0	0.05058365758754864
5	0	0	0.38461538461538464	0.0	0.05058365758754864
6	0	0	0.46153846153846156	0.0	0.05058365758754864
7	0	0	0.5384615384615384	0.0	0.05058365758754864
8	0	746	0.6153846153846154	0.0	0.41342412451361865
9	0	526	0.6923076923076923	0.0	0.669260700389105
10	0	303	0.7692307692307693	0.0	0.8166342412451362
11	43	43	0.8461538461538461	0.671875	0.8375486381322957
12	21	241	0.9230769230769231	1.0	0.9547665369649806
13	0	93	1.0	1.0	1.0
