Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	0	50	0.0	0.0	0.2183406113537118
1	31	21	0.045454545454545456	0.47692307692307695	0.31004366812227074
2	0	2	0.09090909090909091	0.47692307692307695	0.31877729257641924
3	0	4	0.13636363636363635	0.47692307692307695	0.33624454148471616
4	0	0	0.18181818181818182	0.47692307692307695	0.33624454148471616
5	0	0	0.22727272727272727	0.47692307692307695	0.33624454148471616
6	0	3	0.2727272727272727	0.47692307692307695	0.34934497816593885
7	0	0	0.3181818181818182	0.47692307692307695	0.34934497816593885
8	0	0	0.36363636363636365	0.47692307692307695	0.34934497816593885
9	0	2	0.4090909090909091	0.47692307692307695	0.35807860262008734
10	0	8	0.45454545454545453	0.47692307692307695	0.39301310043668125
11	0	0	0.5	0.47692307692307695	0.39301310043668125
12	8	17	0.5454545454545454	0.6000000000000001	0.46724890829694327
13	1	3	0.5909090909090909	0.6153846153846154	0.48034934497816595
14	3	14	0.6363636363636364	0.6615384615384616	0.5414847161572053
15	12	60	0.6818181818181818	0.8461538461538463	0.8034934497816595
16	0	19	0.7272727272727273	0.8461538461538463	0.8864628820960699
17	1	11	0.7727272727272727	0.8615384615384616	0.9344978165938865
18	0	4	0.8181818181818182	0.8615384615384616	0.9519650655021835
19	0	0	0.8636363636363636	0.8615384615384616	0.9519650655021835
20	0	0	0.9090909090909091	0.8615384615384616	0.9519650655021835
21	9	7	0.9545454545454546	1.0	0.9825327510917031
22	0	4	1.0	1.0	1.0
