Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	0	12	0.0	0.0	0.05429864253393665
1	0	0	0.04	0.0	0.05429864253393665
2	0	0	0.08	0.0	0.05429864253393665
3	0	0	0.12	0.0	0.05429864253393665
4	0	0	0.16	0.0	0.05429864253393665
5	0	0	0.2	0.0	0.05429864253393665
6	4	22	0.24	1.0	0.15384615384615385
7	0	0	0.28	1.0	0.15384615384615385
8	0	0	0.32	1.0	0.15384615384615385
9	0	0	0.36	1.0	0.15384615384615385
10	0	0	0.4	1.0	0.15384615384615385
11	0	0	0.44	1.0	0.15384615384615385
12	0	0	0.48	1.0	0.15384615384615385
13	0	0	0.52	1.0	0.15384615384615385
14	0	0	0.56	1.0	0.15384615384615385
15	0	0	0.6	1.0	0.15384615384615385
16	0	0	0.64	1.0	0.15384615384615385
17	0	0	0.68	1.0	0.15384615384615385
18	0	0	0.72	1.0	0.15384615384615385
19	0	0	0.76	1.0	0.15384615384615385
20	0	0	0.8	1.0	0.15384615384615385
21	0	0	0.84	1.0	0.15384615384615385
22	0	172	0.88	1.0	0.9321266968325792
23	0	12	0.92	1.0	0.9864253393665159
24	0	0	0.96	1.0	0.9864253393665159
25	0	3	1.0	1.0	1.0
