Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	0	217	0.0	0.0	0.0024286785526418876
1	0	54	0.025	0.0	0.003033050174036643
2	0	37	0.05	0.0	0.003447156655362679
3	0	2	0.075	0.0	0.0034695407894884105
4	0	68	0.1	0.0	0.004230601349763287
5	0	1	0.125	0.0	0.004241793416826153
6	0	7	0.15	0.0	0.004320137886266214
7	0	61	0.175	0.0	0.00500285397710103
8	0	7589	0.2	0.0	0.0899394509171899
9	0	4	0.225	0.0	0.08998421918544136
10	0	8374	0.25	0.0	0.1837065887698799
11	0	1	0.275	0.0	0.1837177808369428
12	0	0	0.3	0.0	0.1837177808369428
13	0	2945	0.325	0.0	0.21667841833708268
14	0	6021	0.35	0.0	0.2840658541225979
15	0	43	0.375	0.0	0.2845471130063011
16	0	11	0.4	0.0	0.2846702257439926
17	0	11677	0.425	0.0	0.41535999283707703
18	0	1	0.45	0.0	0.4153711849041399
19	0	4566	0.475	0.0	0.4664741631131853
20	0	3	0.5	0.0	0.4665077393143739
21	0	6997	0.525	0.0	0.5448186325532461
22	0	1826	0.55	0.0	0.5652553470100392
23	0	3	0.575	0.0	0.5652889232112278
24	0	8	0.6	0.0	0.5653784597477307
25	0	5	0.625	0.0	0.565434420083045
26	0	13613	0.65	0.0	0.7177920290098376
27	0	14504	0.675	0.0	0.8801217696896437
28	0	303	0.7	0.0	0.8835129660096921
29	0	485	0.725	0.0	0.888941118535182
30	0	120	0.75	0.0	0.8902841665827259
31	0	457	0.775	0.0	0.8953989412304556
32	0	228	0.8	0.0	0.897950732520789
33	0	41	0.825	0.0	0.8984096072703666
34	0	57	0.85	0.0	0.8990475550929499
35	0	72	0.875	0.0	0.8998533839214762
36	0	999	0.9	0.0	0.9110342589172792
37	11	298	0.925	1.0	0.9143694949020132
38	0	366	0.95	1.0	0.9184657914470221
39	0	91	0.975	1.0	0.9194842695497429
40	0	7194	1.0	1.0	0.9999999999999998
