Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	39	136	0.0	0.8863636363636364	0.2305084745762712
1	0	13	0.03125	0.8863636363636364	0.25254237288135595
2	0	15	0.0625	0.8863636363636364	0.27796610169491526
3	0	16	0.09375	0.8863636363636364	0.3050847457627119
4	0	20	0.125	0.8863636363636364	0.33898305084745767
5	0	29	0.15625	0.8863636363636364	0.388135593220339
6	5	19	0.1875	1.0	0.4203389830508475
7	0	4	0.21875	1.0	0.42711864406779665
8	0	3	0.25	1.0	0.4322033898305085
9	0	0	0.28125	1.0	0.4322033898305085
10	0	3	0.3125	1.0	0.43728813559322033
11	0	1	0.34375	1.0	0.4389830508474576
12	0	6	0.375	1.0	0.4491525423728813
13	0	3	0.40625	1.0	0.45423728813559316
14	0	0	0.4375	1.0	0.45423728813559316
15	0	71	0.46875	1.0	0.5745762711864406
16	0	5	0.5	1.0	0.583050847457627
17	0	51	0.53125	1.0	0.6694915254237287
18	0	25	0.5625	1.0	0.7118644067796609
19	0	40	0.59375	1.0	0.7796610169491525
20	0	10	0.625	1.0	0.7966101694915253
21	0	6	0.65625	1.0	0.806779661016949
22	0	10	0.6875	1.0	0.8237288135593218
23	0	2	0.71875	1.0	0.8271186440677963
24	0	0	0.75	1.0	0.8271186440677963
25	0	21	0.78125	1.0	0.8627118644067794
26	0	9	0.8125	1.0	0.877966101694915
27	0	11	0.84375	1.0	0.8966101694915252
28	0	14	0.875	1.0	0.9203389830508472
29	0	42	0.90625	1.0	0.9915254237288132
30	0	0	0.9375	1.0	0.9915254237288132
31	0	2	0.96875	1.0	0.9949152542372878
32	0	3	1.0	1.0	0.9999999999999997
