Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	216	1144	0.0	0.28993288590604027	0.2769305252965384
1	148	315	0.025	0.4885906040268456	0.35318324860808525
2	24	220	0.05	0.5208053691275167	0.40643911885741957
3	5	227	0.075	0.5275167785234899	0.4613894940692327
4	94	287	0.1	0.6536912751677852	0.5308641975308642
5	78	430	0.125	0.7583892617449665	0.6349552166545631
6	160	425	0.15	0.9731543624161074	0.7378358750907771
7	1	140	0.175	0.974496644295302	0.7717259743403535
8	0	3	0.2	0.974496644295302	0.7724521907528444
9	0	13	0.225	0.974496644295302	0.7755991285403051
10	0	21	0.25	0.974496644295302	0.7806826434277415
11	0	89	0.275	0.974496644295302	0.8022270636649722
12	0	39	0.3	0.974496644295302	0.8116678770273542
13	0	26	0.325	0.974496644295302	0.8179617526022755
14	0	29	0.35	0.974496644295302	0.8249818445896878
15	0	81	0.375	0.974496644295302	0.8445896877269428
16	0	50	0.4	0.974496644295302	0.8566932946017914
17	0	35	0.425	0.974496644295302	0.8651658194141856
18	0	34	0.45	0.974496644295302	0.8733962720890827
19	0	85	0.475	0.974496644295302	0.8939724037763255
20	12	73	0.5	0.9906040268456376	0.9116436698136046
21	0	13	0.525	0.9906040268456376	0.9147906076010652
22	0	53	0.55	0.9906040268456376	0.9276204308884048
23	0	21	0.575	0.9906040268456376	0.9327039457758413
24	0	21	0.6	0.9906040268456376	0.9377874606632777
25	0	33	0.625	0.9906040268456376	0.9457758412006778
26	1	23	0.65	0.9919463087248322	0.9513435003631082
27	0	14	0.675	0.9919463087248322	0.9547325102880658
28	6	15	0.7	1.0	0.9583635923505205
29	0	7	0.725	1.0	0.9600580973129993
30	0	8	0.75	1.0	0.961994674412975
31	0	9	0.775	1.0	0.9641733236504478
32	0	6	0.8	1.0	0.9656257564754297
33	0	16	0.825	1.0	0.9694989106753813
34	0	8	0.85	1.0	0.971435487775357
35	0	1	0.875	1.0	0.971677559912854
36	0	9	0.9	1.0	0.9738562091503268
37	0	49	0.925	1.0	0.9857177438876785
38	0	21	0.95	1.0	0.9908012587751149
39	0	18	0.975	1.0	0.9951585572500604
40	0	20	1.0	1.0	0.9999999999999999
