Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	63	1245	0.0	1.0	0.9952038369304557
1	0	0	0.02857142857142857	1.0	0.9952038369304557
2	0	0	0.05714285714285714	1.0	0.9952038369304557
3	0	0	0.08571428571428572	1.0	0.9952038369304557
4	0	0	0.11428571428571428	1.0	0.9952038369304557
5	0	0	0.14285714285714285	1.0	0.9952038369304557
6	0	0	0.17142857142857143	1.0	0.9952038369304557
7	0	0	0.2	1.0	0.9952038369304557
8	0	0	0.22857142857142856	1.0	0.9952038369304557
9	0	0	0.2571428571428571	1.0	0.9952038369304557
10	0	0	0.2857142857142857	1.0	0.9952038369304557
11	0	0	0.3142857142857143	1.0	0.9952038369304557
12	0	0	0.34285714285714286	1.0	0.9952038369304557
13	0	0	0.37142857142857144	1.0	0.9952038369304557
14	0	0	0.4	1.0	0.9952038369304557
15	0	4	0.42857142857142855	1.0	0.9984012789768186
16	0	1	0.45714285714285713	1.0	0.9992006394884093
17	0	0	0.4857142857142857	1.0	0.9992006394884093
18	0	0	0.5142857142857142	1.0	0.9992006394884093
19	0	0	0.5428571428571428	1.0	0.9992006394884093
20	0	0	0.5714285714285714	1.0	0.9992006394884093
21	0	0	0.6	1.0	0.9992006394884093
22	0	0	0.6285714285714286	1.0	0.9992006394884093
23	0	0	0.6571428571428571	1.0	0.9992006394884093
24	0	0	0.6857142857142857	1.0	0.9992006394884093
25	0	0	0.7142857142857143	1.0	0.9992006394884093
26	0	0	0.7428571428571429	1.0	0.9992006394884093
27	0	0	0.7714285714285715	1.0	0.9992006394884093
28	0	0	0.8	1.0	0.9992006394884093
29	0	0	0.8285714285714286	1.0	0.9992006394884093
30	0	0	0.8571428571428571	1.0	0.9992006394884093
31	0	0	0.8857142857142857	1.0	0.9992006394884093
32	0	0	0.9142857142857143	1.0	0.9992006394884093
33	0	0	0.9428571428571428	1.0	0.9992006394884093
34	0	0	0.9714285714285714	1.0	0.9992006394884093
35	0	1	1.0	1.0	1.0
