Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	37	342	0.0	0.6727272727272727	0.20815581253804016
1	0	203	0.030303030303030304	0.6727272727272727	0.3317102860620815
2	17	107	0.06060606060606061	0.9818181818181818	0.396835057821059
3	1	286	0.09090909090909091	1.0	0.5709068776628119
4	0	292	0.12121212121212122	1.0	0.7486305538648813
5	0	0	0.15151515151515152	1.0	0.7486305538648813
6	0	22	0.18181818181818182	1.0	0.7620206938527084
7	0	14	0.21212121212121213	1.0	0.7705416920267802
8	0	36	0.24242424242424243	1.0	0.7924528301886792
9	0	22	0.2727272727272727	1.0	0.8058429701765063
10	0	2	0.30303030303030304	1.0	0.8070602556299451
11	0	29	0.3333333333333333	1.0	0.8247108947048082
12	0	1	0.36363636363636365	1.0	0.8253195374315276
13	0	12	0.3939393939393939	1.0	0.8326232501521607
14	0	2	0.42424242424242425	1.0	0.8338405356055995
15	0	0	0.45454545454545453	1.0	0.8338405356055995
16	0	0	0.48484848484848486	1.0	0.8338405356055995
17	0	7	0.5151515151515151	1.0	0.8381010346926354
18	0	43	0.5454545454545454	1.0	0.8642726719415703
19	0	6	0.5757575757575758	1.0	0.8679245283018868
20	0	1	0.6060606060606061	1.0	0.8685331710286063
21	0	0	0.6363636363636364	1.0	0.8685331710286063
22	0	0	0.6666666666666666	1.0	0.8685331710286063
23	0	22	0.696969696969697	1.0	0.8819233110164334
24	0	3	0.7272727272727273	1.0	0.8837492391965917
25	0	140	0.7575757575757576	1.0	0.9689592209373099
26	0	4	0.7878787878787878	1.0	0.9713937918441876
27	0	5	0.8181818181818182	1.0	0.9744370054777847
28	0	0	0.8484848484848485	1.0	0.9744370054777847
29	0	28	0.8787878787878788	1.0	0.9914790018259283
30	0	5	0.9090909090909091	1.0	0.9945222154595253
31	0	0	0.9393939393939394	1.0	0.9945222154595253
32	0	1	0.9696969696969697	1.0	0.9951308581862448
33	0	8	1.0	1.0	1.0000000000000002
