Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	0	24	0.0	0.0	0.0016480120854219598
1	0	1493	0.02	0.0	0.10416809723271304
2	0	1810	0.04	0.0	0.22845567534161917
3	0	1270	0.06	0.0	0.31566298152853123
4	0	592	0.08	0.0	0.3563139463022729
5	0	659	0.1	0.0	0.4015656114811509
6	0	1716	0.12	0.0	0.519398475588821
7	0	169	0.14	0.0	0.5310032273570007
8	0	34	0.16	0.0	0.5333379111446818
9	0	207	0.18	0.0	0.5475520153814462
10	0	840	0.2	0.0	0.6052324383712148
11	0	340	0.22	0.0	0.6285792762480259
12	0	2123	0.24	0.0	0.7743596786376434
13	0	49	0.26	0.0	0.7777243699787133
14	0	21	0.28	0.0	0.7791663805534575
15	0	353	0.3	0.0	0.8034058916432055
16	0	488	0.32	0.0	0.8369154707134521
17	0	591	0.34	0.0	0.8774977683169678
18	0	464	0.36	0.0	0.9093593353017924
19	0	196	0.38	0.0	0.9228181006660717
20	0	13	0.4	0.0	0.9237107738790086
21	0	242	0.42	0.0	0.94032822907368
22	0	0	0.44	0.0	0.94032822907368
23	0	37	0.46	0.0	0.9428689143720388
24	0	3	0.48	0.0	0.9430749158827165
25	0	12	0.5	0.0	0.9438989219254275
26	0	260	0.52	0.0	0.9617523861841654
27	0	1	0.54	0.0	0.9618210533543913
28	0	122	0.56	0.0	0.9701984481219529
29	0	33	0.58	0.0	0.9724644647394081
30	0	205	0.6	0.0	0.9865412346357206
31	0	70	0.62	0.0	0.9913479365515346
32	0	32	0.64	0.0	0.9935452859987639
33	0	15	0.66	0.0	0.9945752935521527
34	0	48	0.68	0.0	0.9978713177229966
35	0	1	0.7	0.0	0.9979399848932226
36	0	0	0.72	0.0	0.9979399848932226
37	0	0	0.74	0.0	0.9979399848932226
38	0	0	0.76	0.0	0.9979399848932226
39	0	6	0.78	0.0	0.998351987914578
40	0	6	0.8	0.0	0.9987639909359335
41	0	0	0.82	0.0	0.9987639909359335
42	0	0	0.84	0.0	0.9987639909359335
43	44	8	0.86	1.0	0.9993133282977408
44	0	5	0.88	1.0	0.9996566641488703
45	0	0	0.9	1.0	0.9996566641488703
46	0	0	0.92	1.0	0.9996566641488703
47	0	0	0.94	1.0	0.9996566641488703
48	0	0	0.96	1.0	0.9996566641488703
49	0	0	0.98	1.0	0.9996566641488703
50	0	5	1.0	1.0	0.9999999999999999
