Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	0	7	0.0	0.0	0.04375
1	0	3	0.05555555555555555	0.0	0.0625
2	0	1	0.1111111111111111	0.0	0.06875
3	0	0	0.16666666666666666	0.0	0.06875
4	0	5	0.2222222222222222	0.0	0.1
5	0	19	0.2777777777777778	0.0	0.21875
6	0	0	0.3333333333333333	0.0	0.21875
7	0	0	0.3888888888888889	0.0	0.21875
8	0	0	0.4444444444444444	0.0	0.21875
9	0	0	0.5	0.0	0.21875
10	0	64	0.5555555555555556	0.0	0.61875
11	0	2	0.6111111111111112	0.0	0.63125
12	0	20	0.6666666666666666	0.0	0.75625
13	0	18	0.7222222222222222	0.0	0.86875
14	0	0	0.7777777777777778	0.0	0.86875
15	0	0	0.8333333333333334	0.0	0.86875
16	0	0	0.8888888888888888	0.0	0.86875
17	0	4	0.9444444444444444	0.0	0.89375
18	7	17	1.0	1.0	1.0
