Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	0	39	0.0	0.0	0.04524361948955916
1	5	15	0.020833333333333332	0.14705882352941177	0.06264501160092807
2	0	9	0.041666666666666664	0.14705882352941177	0.07308584686774941
3	11	47	0.0625	0.47058823529411764	0.12761020881670532
4	0	0	0.08333333333333333	0.47058823529411764	0.12761020881670532
5	0	0	0.10416666666666667	0.47058823529411764	0.12761020881670532
6	0	0	0.125	0.47058823529411764	0.12761020881670532
7	0	0	0.14583333333333334	0.47058823529411764	0.12761020881670532
8	0	0	0.16666666666666666	0.47058823529411764	0.12761020881670532
9	0	0	0.1875	0.47058823529411764	0.12761020881670532
10	0	17	0.20833333333333334	0.47058823529411764	0.14733178654292342
11	0	0	0.22916666666666666	0.47058823529411764	0.14733178654292342
12	11	37	0.25	0.7941176470588236	0.1902552204176334
13	0	170	0.2708333333333333	0.7941176470588236	0.3874709976798144
14	2	47	0.2916666666666667	0.8529411764705883	0.44199535962877035
15	5	81	0.3125	1.0	0.5359628770301624
16	0	0	0.3333333333333333	1.0	0.5359628770301624
17	0	0	0.3541666666666667	1.0	0.5359628770301624
18	0	0	0.375	1.0	0.5359628770301624
19	0	70	0.3958333333333333	1.0	0.617169373549884
20	0	25	0.4166666666666667	1.0	0.6461716937354989
21	0	41	0.4375	1.0	0.6937354988399073
22	0	51	0.4583333333333333	1.0	0.7529002320185616
23	0	11	0.4791666666666667	1.0	0.7656612529002321
24	0	9	0.5	1.0	0.7761020881670535
25	0	0	0.5208333333333334	1.0	0.7761020881670535
26	0	0	0.5416666666666666	1.0	0.7761020881670535
27	0	3	0.5625	1.0	0.7795823665893273
28	0	0	0.5833333333333334	1.0	0.7795823665893273
29	0	6	0.6041666666666666	1.0	0.7865429234338749
30	0	8	0.625	1.0	0.7958236658932716
31	0	124	0.6458333333333334	1.0	0.9396751740139212
32	0	32	0.6666666666666666	1.0	0.9767981438515082
33	0	16	0.6875	1.0	0.9953596287703017
34	0	2	0.7083333333333334	1.0	0.9976798143851509
35	0	0	0.7291666666666666	1.0	0.9976798143851509
36	0	0	0.75	1.0	0.9976798143851509
37	0	0	0.7708333333333334	1.0	0.9976798143851509
38	0	0	0.7916666666666666	1.0	0.9976798143851509
39	0	0	0.8125	1.0	0.9976798143851509
40	0	0	0.8333333333333334	1.0	0.9976798143851509
41	0	0	0.8541666666666666	1.0	0.9976798143851509
42	0	0	0.875	1.0	0.9976798143851509
43	0	0	0.8958333333333334	1.0	0.9976798143851509
44	0	0	0.9166666666666666	1.0	0.9976798143851509
45	0	0	0.9375	1.0	0.9976798143851509
46	0	0	0.9583333333333334	1.0	0.9976798143851509
47	0	0	0.9791666666666666	1.0	0.9976798143851509
48	0	2	1.0	1.0	1.0
