Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	0	8	0.0	0.0	0.0142602495543672
1	0	268	0.07692307692307693	0.0	0.4919786096256685
2	0	0	0.15384615384615385	0.0	0.4919786096256685
3	0	1	0.23076923076923078	0.0	0.49376114081996436
4	0	0	0.3076923076923077	0.0	0.49376114081996436
5	0	0	0.38461538461538464	0.0	0.49376114081996436
6	0	0	0.46153846153846156	0.0	0.49376114081996436
7	0	0	0.5384615384615384	0.0	0.49376114081996436
8	0	0	0.6153846153846154	0.0	0.49376114081996436
9	79	187	0.6923076923076923	1.0	0.8270944741532977
10	0	26	0.7692307692307693	1.0	0.8734402852049912
11	0	47	0.8461538461538461	1.0	0.9572192513368984
12	0	15	0.9230769230769231	1.0	0.983957219251337
13	0	9	1.0	1.0	1.0
