Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	0	62	0.0	0.0	0.11211573236889692
1	6	29	0.023809523809523808	0.75	0.16455696202531644
2	0	53	0.047619047619047616	0.75	0.26039783001808314
3	0	38	0.07142857142857142	0.75	0.3291139240506329
4	0	4	0.09523809523809523	0.75	0.33634719710669075
5	0	9	0.11904761904761904	0.75	0.35262206148282094
6	0	24	0.14285714285714285	0.75	0.3960216998191681
7	1	68	0.16666666666666666	0.875	0.5189873417721519
8	1	28	0.19047619047619047	1.0	0.569620253164557
9	0	2	0.21428571428571427	1.0	0.5732368896925859
10	0	21	0.23809523809523808	1.0	0.6112115732368897
11	0	52	0.2619047619047619	1.0	0.705244122965642
12	0	22	0.2857142857142857	1.0	0.7450271247739603
13	0	17	0.30952380952380953	1.0	0.7757685352622062
14	0	13	0.3333333333333333	1.0	0.7992766726943943
15	0	60	0.35714285714285715	1.0	0.9077757685352623
16	0	0	0.38095238095238093	1.0	0.9077757685352623
17	0	10	0.40476190476190477	1.0	0.925858951175407
18	0	1	0.42857142857142855	1.0	0.9276672694394215
19	0	9	0.4523809523809524	1.0	0.9439421338155517
20	0	2	0.47619047619047616	1.0	0.9475587703435806
21	0	3	0.5	1.0	0.952983725135624
22	0	5	0.5238095238095238	1.0	0.9620253164556963
23	0	0	0.5476190476190477	1.0	0.9620253164556963
24	0	5	0.5714285714285714	1.0	0.9710669077757687
25	0	0	0.5952380952380952	1.0	0.9710669077757687
26	0	0	0.6190476190476191	1.0	0.9710669077757687
27	0	0	0.6428571428571429	1.0	0.9710669077757687
28	0	0	0.6666666666666666	1.0	0.9710669077757687
29	0	0	0.6904761904761905	1.0	0.9710669077757687
30	0	0	0.7142857142857143	1.0	0.9710669077757687
31	0	0	0.7380952380952381	1.0	0.9710669077757687
32	0	0	0.7619047619047619	1.0	0.9710669077757687
33	0	0	0.7857142857142857	1.0	0.9710669077757687
34	0	0	0.8095238095238095	1.0	0.9710669077757687
35	0	0	0.8333333333333334	1.0	0.9710669077757687
36	0	0	0.8571428571428571	1.0	0.9710669077757687
37	0	2	0.8809523809523809	1.0	0.9746835443037976
38	0	0	0.9047619047619048	1.0	0.9746835443037976
39	0	7	0.9285714285714286	1.0	0.9873417721518988
40	0	2	0.9523809523809523	1.0	0.9909584086799277
41	0	0	0.9761904761904762	1.0	0.9909584086799277
42	0	5	1.0	1.0	1.0
