Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	6	58	0.0	1.0	0.6041666666666666
1	0	31	0.043478260869565216	1.0	0.9270833333333333
2	0	0	0.08695652173913043	1.0	0.9270833333333333
3	0	0	0.13043478260869565	1.0	0.9270833333333333
4	0	0	0.17391304347826086	1.0	0.9270833333333333
5	0	0	0.21739130434782608	1.0	0.9270833333333333
6	0	0	0.2608695652173913	1.0	0.9270833333333333
7	0	0	0.30434782608695654	1.0	0.9270833333333333
8	0	0	0.34782608695652173	1.0	0.9270833333333333
9	0	0	0.391304347826087	1.0	0.9270833333333333
10	0	0	0.43478260869565216	1.0	0.9270833333333333
11	0	1	0.4782608695652174	1.0	0.9374999999999999
12	0	5	0.5217391304347826	1.0	0.9895833333333333
13	0	0	0.5652173913043478	1.0	0.9895833333333333
14	0	0	0.6086956521739131	1.0	0.9895833333333333
15	0	0	0.6521739130434783	1.0	0.9895833333333333
16	0	0	0.6956521739130435	1.0	0.9895833333333333
17	0	0	0.7391304347826086	1.0	0.9895833333333333
18	0	0	0.782608695652174	1.0	0.9895833333333333
19	0	0	0.8260869565217391	1.0	0.9895833333333333
20	0	0	0.8695652173913043	1.0	0.9895833333333333
21	0	0	0.9130434782608695	1.0	0.9895833333333333
22	0	0	0.9565217391304348	1.0	0.9895833333333333
23	0	1	1.0	1.0	0.9999999999999999
