Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	0	45	0.0	0.0	0.11936339522546419
1	0	0	0.015151515151515152	0.0	0.11936339522546419
2	0	2	0.030303030303030304	0.0	0.1246684350132626
3	23	117	0.045454545454545456	1.0	0.4350132625994695
4	0	1	0.06060606060606061	1.0	0.4376657824933687
5	0	11	0.07575757575757576	1.0	0.46684350132625996
6	0	4	0.09090909090909091	1.0	0.4774535809018568
7	0	1	0.10606060606060606	1.0	0.480106100795756
8	0	0	0.12121212121212122	1.0	0.480106100795756
9	0	0	0.13636363636363635	1.0	0.480106100795756
10	0	48	0.15151515151515152	1.0	0.6074270557029178
11	0	3	0.16666666666666666	1.0	0.6153846153846154
12	0	1	0.18181818181818182	1.0	0.6180371352785147
13	0	1	0.19696969696969696	1.0	0.6206896551724139
14	0	0	0.21212121212121213	1.0	0.6206896551724139
15	0	6	0.22727272727272727	1.0	0.6366047745358091
16	0	4	0.24242424242424243	1.0	0.6472148541114059
17	0	24	0.25757575757575757	1.0	0.7108753315649868
18	0	41	0.2727272727272727	1.0	0.8196286472148542
19	0	7	0.2878787878787879	1.0	0.8381962864721486
20	0	0	0.30303030303030304	1.0	0.8381962864721486
21	0	23	0.3181818181818182	1.0	0.8992042440318303
22	0	5	0.3333333333333333	1.0	0.9124668435013263
23	0	3	0.3484848484848485	1.0	0.920424403183024
24	0	9	0.36363636363636365	1.0	0.9442970822281168
25	0	1	0.3787878787878788	1.0	0.9469496021220161
26	0	9	0.3939393939393939	1.0	0.9708222811671089
27	0	2	0.4090909090909091	1.0	0.9761273209549073
28	0	1	0.42424242424242425	1.0	0.9787798408488065
29	0	1	0.4393939393939394	1.0	0.9814323607427058
30	0	2	0.45454545454545453	1.0	0.9867374005305042
31	0	0	0.4696969696969697	1.0	0.9867374005305042
32	0	0	0.48484848484848486	1.0	0.9867374005305042
33	0	0	0.5	1.0	0.9867374005305042
34	0	0	0.5151515151515151	1.0	0.9867374005305042
35	0	0	0.5303030303030303	1.0	0.9867374005305042
36	0	0	0.5454545454545454	1.0	0.9867374005305042
37	0	0	0.5606060606060606	1.0	0.9867374005305042
38	0	0	0.5757575757575758	1.0	0.9867374005305042
39	0	2	0.5909090909090909	1.0	0.9920424403183026
40	0	0	0.6060606060606061	1.0	0.9920424403183026
41	0	0	0.6212121212121212	1.0	0.9920424403183026
42	0	0	0.6363636363636364	1.0	0.9920424403183026
43	0	0	0.6515151515151515	1.0	0.9920424403183026
44	0	0	0.6666666666666666	1.0	0.9920424403183026
45	0	0	0.6818181818181818	1.0	0.9920424403183026
46	0	0	0.696969696969697	1.0	0.9920424403183026
47	0	2	0.7121212121212122	1.0	0.997347480106101
48	0	0	0.7272727272727273	1.0	0.997347480106101
49	0	0	0.7424242424242424	1.0	0.997347480106101
50	0	0	0.7575757575757576	1.0	0.997347480106101
51	0	0	0.7727272727272727	1.0	0.997347480106101
52	0	0	0.7878787878787878	1.0	0.997347480106101
53	0	0	0.803030303030303	1.0	0.997347480106101
54	0	0	0.8181818181818182	1.0	0.997347480106101
55	0	0	0.8333333333333334	1.0	0.997347480106101
56	0	0	0.8484848484848485	1.0	0.997347480106101
57	0	0	0.8636363636363636	1.0	0.997347480106101
58	0	0	0.8787878787878788	1.0	0.997347480106101
59	0	0	0.8939393939393939	1.0	0.997347480106101
60	0	0	0.9090909090909091	1.0	0.997347480106101
61	0	0	0.9242424242424242	1.0	0.997347480106101
62	0	0	0.9393939393939394	1.0	0.997347480106101
63	0	0	0.9545454545454546	1.0	0.997347480106101
64	0	0	0.9696969696969697	1.0	0.997347480106101
65	0	0	0.9848484848484849	1.0	0.997347480106101
66	0	1	1.0	1.0	1.0000000000000002
