Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	9	129	0.0	0.6923076923076923	0.45104895104895104
1	4	73	0.023809523809523808	1.0	0.7062937062937062
2	0	76	0.047619047619047616	1.0	0.972027972027972
3	0	0	0.07142857142857142	1.0	0.972027972027972
4	0	1	0.09523809523809523	1.0	0.9755244755244755
5	0	0	0.11904761904761904	1.0	0.9755244755244755
6	0	0	0.14285714285714285	1.0	0.9755244755244755
7	0	0	0.16666666666666666	1.0	0.9755244755244755
8	0	0	0.19047619047619047	1.0	0.9755244755244755
9	0	0	0.21428571428571427	1.0	0.9755244755244755
10	0	0	0.23809523809523808	1.0	0.9755244755244755
11	0	0	0.2619047619047619	1.0	0.9755244755244755
12	0	0	0.2857142857142857	1.0	0.9755244755244755
13	0	0	0.30952380952380953	1.0	0.9755244755244755
14	0	0	0.3333333333333333	1.0	0.9755244755244755
15	0	0	0.35714285714285715	1.0	0.9755244755244755
16	0	0	0.38095238095238093	1.0	0.9755244755244755
17	0	0	0.40476190476190477	1.0	0.9755244755244755
18	0	0	0.42857142857142855	1.0	0.9755244755244755
19	0	0	0.4523809523809524	1.0	0.9755244755244755
20	0	0	0.47619047619047616	1.0	0.9755244755244755
21	0	0	0.5	1.0	0.9755244755244755
22	0	0	0.5238095238095238	1.0	0.9755244755244755
23	0	0	0.5476190476190477	1.0	0.9755244755244755
24	0	0	0.5714285714285714	1.0	0.9755244755244755
25	0	0	0.5952380952380952	1.0	0.9755244755244755
26	0	0	0.6190476190476191	1.0	0.9755244755244755
27	0	0	0.6428571428571429	1.0	0.9755244755244755
28	0	0	0.6666666666666666	1.0	0.9755244755244755
29	0	0	0.6904761904761905	1.0	0.9755244755244755
30	0	0	0.7142857142857143	1.0	0.9755244755244755
31	0	0	0.7380952380952381	1.0	0.9755244755244755
32	0	0	0.7619047619047619	1.0	0.9755244755244755
33	0	0	0.7857142857142857	1.0	0.9755244755244755
34	0	0	0.8095238095238095	1.0	0.9755244755244755
35	0	0	0.8333333333333334	1.0	0.9755244755244755
36	0	0	0.8571428571428571	1.0	0.9755244755244755
37	0	0	0.8809523809523809	1.0	0.9755244755244755
38	0	0	0.9047619047619048	1.0	0.9755244755244755
39	0	0	0.9285714285714286	1.0	0.9755244755244755
40	0	0	0.9523809523809523	1.0	0.9755244755244755
41	0	0	0.9761904761904762	1.0	0.9755244755244755
42	0	7	1.0	1.0	1.0
