Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	2	16	0.0	0.5	0.35555555555555557
1	0	0	0.037037037037037035	0.5	0.35555555555555557
2	0	1	0.07407407407407407	0.5	0.37777777777777777
3	0	0	0.1111111111111111	0.5	0.37777777777777777
4	0	0	0.14814814814814814	0.5	0.37777777777777777
5	0	0	0.18518518518518517	0.5	0.37777777777777777
6	0	0	0.2222222222222222	0.5	0.37777777777777777
7	0	0	0.25925925925925924	0.5	0.37777777777777777
8	0	0	0.2962962962962963	0.5	0.37777777777777777
9	0	0	0.3333333333333333	0.5	0.37777777777777777
10	0	7	0.37037037037037035	0.5	0.5333333333333333
11	0	0	0.4074074074074074	0.5	0.5333333333333333
12	0	0	0.4444444444444444	0.5	0.5333333333333333
13	0	0	0.48148148148148145	0.5	0.5333333333333333
14	0	0	0.5185185185185185	0.5	0.5333333333333333
15	0	0	0.5555555555555556	0.5	0.5333333333333333
16	0	0	0.5925925925925926	0.5	0.5333333333333333
17	0	0	0.6296296296296297	0.5	0.5333333333333333
18	0	0	0.6666666666666666	0.5	0.5333333333333333
19	0	0	0.7037037037037037	0.5	0.5333333333333333
20	0	0	0.7407407407407407	0.5	0.5333333333333333
21	0	0	0.7777777777777778	0.5	0.5333333333333333
22	0	0	0.8148148148148148	0.5	0.5333333333333333
23	0	0	0.8518518518518519	0.5	0.5333333333333333
24	0	0	0.8888888888888888	0.5	0.5333333333333333
25	1	12	0.9259259259259259	0.75	0.8
26	0	0	0.9629629629629629	0.75	0.8
27	1	9	1.0	1.0	1.0
