Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	0	22	0.0	0.0	0.0830188679245283
1	0	0	0.02	0.0	0.0830188679245283
2	0	0	0.04	0.0	0.0830188679245283
3	11	15	0.06	0.9166666666666666	0.13962264150943396
4	0	0	0.08	0.9166666666666666	0.13962264150943396
5	0	0	0.1	0.9166666666666666	0.13962264150943396
6	0	0	0.12	0.9166666666666666	0.13962264150943396
7	0	0	0.14	0.9166666666666666	0.13962264150943396
8	0	0	0.16	0.9166666666666666	0.13962264150943396
9	0	0	0.18	0.9166666666666666	0.13962264150943396
10	0	82	0.2	0.9166666666666666	0.4490566037735849
11	0	19	0.22	0.9166666666666666	0.5207547169811321
12	0	0	0.24	0.9166666666666666	0.5207547169811321
13	0	2	0.26	0.9166666666666666	0.5283018867924528
14	0	0	0.28	0.9166666666666666	0.5283018867924528
15	0	1	0.3	0.9166666666666666	0.5320754716981132
16	0	41	0.32	0.9166666666666666	0.6867924528301886
17	0	3	0.34	0.9166666666666666	0.6981132075471698
18	1	9	0.36	1.0	0.7320754716981132
19	0	4	0.38	1.0	0.7471698113207547
20	0	0	0.4	1.0	0.7471698113207547
21	0	0	0.42	1.0	0.7471698113207547
22	0	0	0.44	1.0	0.7471698113207547
23	0	0	0.46	1.0	0.7471698113207547
24	0	0	0.48	1.0	0.7471698113207547
25	0	23	0.5	1.0	0.8339622641509433
26	0	2	0.52	1.0	0.8415094339622641
27	0	0	0.54	1.0	0.8415094339622641
28	0	0	0.56	1.0	0.8415094339622641
29	0	0	0.58	1.0	0.8415094339622641
30	0	0	0.6	1.0	0.8415094339622641
31	0	0	0.62	1.0	0.8415094339622641
32	0	8	0.64	1.0	0.8716981132075471
33	0	17	0.66	1.0	0.9358490566037735
34	0	1	0.68	1.0	0.9396226415094339
35	0	4	0.7	1.0	0.9547169811320754
36	0	4	0.72	1.0	0.9698113207547169
37	0	0	0.74	1.0	0.9698113207547169
38	0	0	0.76	1.0	0.9698113207547169
39	0	0	0.78	1.0	0.9698113207547169
40	0	2	0.8	1.0	0.9773584905660376
41	0	1	0.82	1.0	0.981132075471698
42	0	0	0.84	1.0	0.981132075471698
43	0	0	0.86	1.0	0.981132075471698
44	0	1	0.88	1.0	0.9849056603773584
45	0	0	0.9	1.0	0.9849056603773584
46	0	0	0.92	1.0	0.9849056603773584
47	0	0	0.94	1.0	0.9849056603773584
48	0	2	0.96	1.0	0.9924528301886791
49	0	0	0.98	1.0	0.9924528301886791
50	0	2	1.0	1.0	0.9999999999999999
