Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	0	23	0.0	0.0	0.033823529411764704
1	0	0	0.047619047619047616	0.0	0.033823529411764704
2	0	14	0.09523809523809523	0.0	0.054411764705882354
3	13	61	0.14285714285714285	1.0	0.14411764705882352
4	0	42	0.19047619047619047	1.0	0.20588235294117646
5	0	39	0.23809523809523808	1.0	0.26323529411764707
6	0	45	0.2857142857142857	1.0	0.32941176470588235
7	0	112	0.3333333333333333	1.0	0.49411764705882355
8	0	17	0.38095238095238093	1.0	0.5191176470588236
9	0	8	0.42857142857142855	1.0	0.5308823529411765
10	0	60	0.47619047619047616	1.0	0.6191176470588236
11	0	57	0.5238095238095238	1.0	0.7029411764705883
12	0	20	0.5714285714285714	1.0	0.7323529411764707
13	0	0	0.6190476190476191	1.0	0.7323529411764707
14	0	12	0.6666666666666666	1.0	0.7500000000000001
15	0	0	0.7142857142857143	1.0	0.7500000000000001
16	0	0	0.7619047619047619	1.0	0.7500000000000001
17	0	98	0.8095238095238095	1.0	0.8941176470588237
18	0	60	0.8571428571428571	1.0	0.9823529411764708
19	0	0	0.9047619047619048	1.0	0.9823529411764708
20	0	6	0.9523809523809523	1.0	0.9911764705882354
21	0	6	1.0	1.0	1.0000000000000002
