Date	Author	NumAffectedFiles	Contains .sql
2014-07-18 11:53:55 +0300	Vyze	2	0
2014-07-18 00:02:39 +0300	Vyze	1	0
2014-07-15 18:37:18 +0300	Vyze	1	0
2014-07-15 16:57:37 +0300	Vyze	1	0
2014-07-15 16:53:25 +0300	Vyze	1	0
2014-07-15 16:51:23 +0300	Vyze	4	1
2014-07-10 11:52:02 +0300	Vyze	1	0
2014-07-10 10:45:45 +0300	Vyze	1	0
2014-07-10 10:40:26 +0300	Vyze	6	1
2014-07-10 10:37:20 +0300	Vyze	1	0
2014-06-28 15:24:37 +0300	Vyze	1	0
2014-06-28 15:16:07 +0300	Vyze	1	0
2014-06-24 22:30:45 +0300	Vyze	1	0
2014-06-19 12:33:19 +0300	Vyze	1	0
2014-02-11 18:09:40 +0200	vadym	1	0
2014-02-11 17:45:43 +0200	vadym	1	0
2014-02-11 12:29:38 +0200	vadym	16	0
2014-01-06 17:27:10 +0200	vadym	2	0
2014-01-06 16:52:11 +0200	vadym	4	0
2014-01-06 14:53:48 +0200	KonstantinKolodnitsky	1	0
2014-01-03 18:35:38 +0200	vadym	1	0
2014-01-03 18:16:35 +0200	vadym	1	0
2014-01-03 18:15:54 +0200	vadym	4	0
2014-01-03 17:57:29 +0200	vadym	3	0
2014-01-03 16:34:58 +0200	vadym	2	0
2014-01-03 10:17:51 +0000	Romans	2	0
2013-12-27 17:28:00 +0200	vadym	1	0
2013-12-27 14:36:27 +0200	vadym	1	0
2013-11-29 09:46:15 +0200	vadym	2	0
2013-11-28 19:16:39 +0200	vadym	1	0
2013-11-28 19:00:38 +0200	vadym	3	0
2013-11-28 18:18:40 +0200	vadym	2	0
2013-11-26 13:54:20 +0200	vadym	1	0
2013-11-26 13:12:08 +0200	vadym	1	0
2013-11-26 11:58:28 +0200	vadym	1	0
2013-11-25 19:28:30 +0200	vadym	1	0
2013-11-25 15:34:40 +0200	vadym	7	0
2013-11-25 10:01:12 +0200	vadym	7	0
2013-11-20 20:53:40 +0200	vadym	1	0
2013-11-20 20:48:07 +0200	vadym	9	0
2013-11-20 20:44:37 +0200	vadym	9	0
2013-11-20 20:08:27 +0200	vadym	1	0
2013-11-20 19:35:59 +0200	vadym	1	0
2013-11-20 15:13:17 +0200	vadym	1	0
2013-11-20 11:19:15 +0200	vadym	1	0
2013-11-20 11:11:59 +0200	vadym	1	0
2013-11-20 11:05:11 +0200	vadym	2	0
2013-11-20 10:06:56 +0200	vadym	1	0
2013-11-19 19:26:47 +0200	vadym	1	0
2013-11-19 19:16:28 +0200	vadym	9	0
2013-11-19 18:46:14 +0200	vadym	1	0
2013-06-25 20:59:21 +0300	vadym	3	0
2013-06-24 22:58:45 +0300	vadym	5	0
2013-06-10 17:19:56 +0300	vadym	7	0
2013-06-10 15:23:52 +0300	vadym	1	0
2013-06-10 15:22:39 +0300	vadym	3	0
2013-05-22 17:17:09 +0300	Oleksii	5	0
2013-03-03 14:17:04 +0200	vadym	1	0
2013-02-16 14:07:02 +0200	vadym	2	0
2013-02-01 14:44:20 +0200	vadym	1	0
2013-01-30 22:58:14 +0200	vadym	1	0
2013-01-11 16:36:07 +0200	vadym	1	0
2013-01-11 16:26:07 +0200	vadym	2	0
2013-01-11 05:16:24 -0800	vadym	1	0
2013-01-11 15:15:04 +0200	vadym	2	0
