Date	Author	NumAffectedFiles	Contains .sql
2019-05-07 11:26:12 +0800	xuxinhua	1	0
2019-05-07 11:22:18 +0800	xuxinhua	2	0
2019-05-04 22:22:23 +0800	xuxinhua	1	0
2019-05-04 21:57:56 +0800	xuxinhua	2	0
2019-04-29 15:27:53 +0800	xuxinhua	2	0
2019-04-28 21:37:51 +0800	xuxinhua	1	0
2019-04-28 21:34:06 +0800	xuxinhua	1	0
2019-04-14 15:09:43 +0800	xuxinhua	32	0
2019-04-12 22:23:15 +0800	taigacute	26	0
2019-04-08 09:36:55 +0800	xuxinhua	1	1
2019-04-07 13:43:06 +0800	xuxinhua	12	1
2019-04-06 12:48:05 +0800	xuxinhua	1	1
2019-03-21 12:08:16 +0800	xuxinhua	1	0
2019-03-20 09:21:02 +0800	xuxinhua	1	0
2019-03-20 09:18:29 +0800	xuxinhua	2	0
2019-03-19 11:43:57 +0800	xuxinhua	3	0
2019-03-02 20:19:35 +0800	xuxinhua	3	0
2019-02-19 15:53:35 +0800	polaris1119	1	0
2019-02-18 22:08:29 +0800	polaris1119	1	0
2019-02-17 23:45:19 +0800	polaris1119	2	0
2019-02-17 19:20:18 +0800	polaris1119	3	1
2018-12-01 10:15:06 +0800	polaris1119	1	0
2018-11-28 17:09:52 +0800	polaris1119	1	0
2018-11-11 15:36:36 +0800	tk103331	3	0
2018-11-03 20:06:44 +0800	polaris1119	18	0
2018-11-01 17:42:33 +0800	zhangxh	1	0
2018-10-20 19:47:27 +0800	polaris1119	10	1
2018-10-19 22:26:26 +0800	polaris1119	7	0
2018-10-15 14:54:40 +0800	Tom	1	0
2018-10-11 17:19:19 +0800	polaris1119	4	0
2018-10-10 09:57:32 +0800	polaris1119	1	0
2018-10-01 20:37:12 +0800	polaris1119	1	0
2018-10-01 20:16:31 +0800	polaris1119	21	0
2018-09-10 17:05:57 +0800	polaris1119	1	0
2018-09-01 22:31:24 +0800	polaris1119	1	0
2018-08-11 22:11:33 +0800	polaris1119	2	0
2018-08-11 21:37:29 +0800	polaris1119	6	0
2018-08-11 16:56:51 +0800	polaris1119	1	0
2018-08-11 16:04:51 +0800	polaris1119	1	0
2018-08-11 16:01:22 +0800	polaris1119	2	1
2018-07-04 10:11:05 +0800	polaris1119	2	0
2018-06-25 22:58:03 +0800	polaris1119	5	0
2018-06-23 17:51:29 +0800	polaris1119	3	0
2018-06-17 22:12:21 +0800	polaris1119	1	0
2018-06-17 21:07:27 +0800	polaris1119	1	0
2018-06-17 20:36:50 +0800	15ho	1	0
2018-06-17 18:00:56 +0800	polaris1119	2	0
2018-06-11 21:10:48 +0800	15ho	5	0
2018-05-16 16:09:26 +0800	polaris1119	1	0
2018-05-16 15:40:58 +0800	polaris1119	1	0
2018-05-16 15:38:48 +0800	polaris1119	1	0
2018-04-03 16:07:23 +0800	polaris1119	1	0
2018-04-02 23:26:05 +0800	polaris1119	3	0
2018-04-01 23:54:52 +0800	polaris1119	1	0
2018-04-01 23:50:07 +0800	polaris1119	29	0
2018-03-29 18:22:35 +0800	polaris1119	1	0
2018-03-29 14:19:09 +0800	polaris1119	1	0
2018-03-29 11:14:34 +0800	polaris1119	1	0
2018-03-29 09:50:54 +0800	youxingzhi	3	0
2018-03-28 23:07:10 +0800	youxingzhi	20	0
2018-03-28 22:11:05 +0800	youxingzhi	4	0
2018-03-26 23:27:04 +0800	youxingzhi	10	0
2018-03-25 20:54:30 +0800	youxingzhi	8	0
2018-03-24 22:35:49 +0800	youxingzhi	9	0
2018-03-28 11:20:03 +0800	polaris1119	1	0
2018-03-27 16:16:49 +0800	dlyt	1	0
2018-03-23 09:39:37 +0800	polaris1119	35	1
2018-03-14 23:49:25 +0800	polaris1119	1	0
2018-03-10 11:10:14 +0800	polaris1119	1	0
2018-03-07 23:06:45 +0800	ayou	9	0
2018-03-06 17:03:12 +0800	youxingzhi	27	0
2018-03-06 16:06:08 +0800	youxingzhi	27	0
2018-03-05 22:17:39 +0800	ayou	27	0
2018-03-01 10:46:29 +0800	youxingzhi	3	0
2018-02-28 15:09:24 +0800	youxingzhi	2	0
2018-02-27 23:26:29 +0800	ayou	2	0
2018-02-27 09:23:30 +0800	polaris1119	1	0
2018-02-26 22:30:47 +0800	polaris1119	6	0
2018-02-25 12:40:58 +0800	polaris1119	1	0
2018-02-25 10:24:12 +0800	polaris1119	1	0
2018-02-24 23:36:48 +0800	polaris1119	2	0
2018-02-24 23:29:47 +0800	polaris1119	2	0
2018-02-24 23:02:14 +0800	polaris1119	7	1
2018-02-23 14:10:57 +0800	polaris1119	4	0
2018-02-19 23:29:35 +0800	polaris1119	3	0
2018-02-19 10:24:25 +0800	polaris1119	1	0
2018-02-19 10:22:04 +0800	polaris1119	1	0
2018-02-19 10:15:46 +0800	polaris1119	2	0
2018-02-19 09:46:19 +0800	polaris1119	5	1
2018-02-18 18:23:54 +0800	polaris1119	15	0
2018-01-27 20:36:14 +0800	meission	3	0
2018-01-22 16:06:24 +0800	polaris1119	1	0
2018-01-20 00:10:30 +0800	polaris1119	2	0
2018-01-18 23:21:08 +0800	polaris1119	1	0
2018-01-18 22:37:14 +0800	polaris1119	1	0
2018-01-18 22:29:28 +0800	polaris1119	1	0
2018-01-18 22:26:26 +0800	polaris1119	1	0
2018-01-18 16:24:40 +0800	polaris1119	3	0
2018-01-18 13:14:30 +0800	polaris1119	1	0
2018-01-18 13:11:15 +0800	polaris1119	1	0
2018-01-18 13:06:15 +0800	polaris1119	9	1
2018-01-17 00:01:53 +0800	polaris1119	1	0
2018-01-16 20:13:42 +0800	polaris1119	2	0
2018-01-16 10:52:59 +0800	ganglin.song	1	0
2018-01-16 10:50:32 +0800	ganglin.song	3	0
2018-01-15 18:47:18 +0800	ganglin.song	4	0
2018-01-14 20:29:43 +0800	polaris1119	4	0
2018-01-10 09:55:23 +0800	polaris1119	3	0
2018-01-10 00:24:50 +0800	polaris1119	1	0
2018-01-10 00:20:16 +0800	polaris1119	1	0
2018-01-08 11:20:17 +0800	ganglin.song	1	0
2018-01-06 14:54:37 +0800	polaris1119	1	0
2018-01-06 14:37:52 +0800	polaris1119	1	0
2018-01-05 18:20:28 +0800	ganglin.song	1	0
2018-01-05 16:33:33 +0800	polaris1119	19	0
2018-01-05 16:06:28 +0800	polaris1119	3	0
2018-01-05 15:56:48 +0800	polaris1119	15	0
2018-01-05 15:08:14 +0800	polaris1119	1	0
2018-01-05 13:17:54 +0800	polaris1119	4	0
2018-01-05 13:12:08 +0800	polaris1119	5	0
2018-01-05 00:42:45 +0800	polaris1119	5	0
2018-01-05 00:22:32 +0800	polaris1119	13	0
2018-01-04 23:53:11 +0800	polaris1119	190	0
2018-01-02 20:43:21 +0800	polaris1119	1	0
2018-01-02 20:11:13 +0800	polaris1119	3	0
